;nom;joueurs;age;duree_minutes;image_url
141;Twilight Struggle;Duo;13+;120 — 180;https://www.myludo.fr/img/jeux/1638688446/300/am/12906.png
142;Forbidden Stars;2 — 4;14+;180;https://www.myludo.fr/img/jeux/1714201924/300/aa/678.png
143;Team3;3 — 6;14+;30;https://www.myludo.fr/img/jeux/1729090074/300/bj/35663.png
144;Galèrapagos - Tribu Et Personnages;3 — 12;10+;20 — 40;https://www.myludo.fr/img/jeux/1659693592/300/bf/31473.png
145;Last Message;3 — 8;8+;15;https://www.myludo.fr/img/jeux/1722803821/300/bv/47676.png
146;Kites;2 — 6;10+;10;https://www.myludo.fr/img/jeux/1741895828/300/cl/63851.png
147;Maudit Mot Dit;3 — 6;12+;30;https://www.myludo.fr/img/jeux/1737887386/300/ce/56028.png
148;Expedition Arès;1 — 4;14+;45 — 60;https://www.myludo.fr/img/jeux/1758988366/300/ca/52175.png
149;District Noir;Duo;10+;15;https://www.myludo.fr/img/jeux/1734193345/300/ch/59045.png
150;Ark Nova;1 — 4;14+;90 — 150;https://www.myludo.fr/img/jeux/1747309512/300/ca/52777.png
151;Heat;1 — 6;10+;30 — 60;https://www.myludo.fr/img/jeux/1756931653/300/cg/58003.png
152;Challengers!;1 — 8;8+;45;https://www.myludo.fr/img/jeux/1710425084/300/ch/59564.png
153;Sea Salt & Paper;2 — 4;8+;30;https://www.myludo.fr/img/jeux/1739973378/300/ch/59020.png
154;Root - The Marauder Expansion;1 — 6;10+;60 — 90;https://www.myludo.fr/img/jeux/1677620879/300/bu/46813.png
155;Trapwords;4 — 8;8+;30 — 60;https://www.myludo.fr/img/jeux/1739279092/300/bd/29355.png
156;Crazy Theory;3 — 6;14+;30 — 60;https://www.myludo.fr/img/jeux/1622045641/300/bg/32394.png
157;Riftforce;Duo;10+;20 — 30;https://www.myludo.fr/img/jeux/1650273818/300/bp/41947.png
158;Welcome To Rapid City;3 — 6;8+;30;https://www.myludo.fr/img/jeux/1611955065/300/bj/35618.png
159;Dany Se Fait Des Films;3 — 8;16+;30;https://www.myludo.fr/img/jeux/1587736101/300/bm/38885.png
160;Exodus;2 — 4;14+;120;https://www.myludo.fr/img/jeux/1696845366/300/aa/44.png
161;Crazy Time;3 — 14;8+;30;https://www.myludo.fr/img/jeux/1735069178/300/bh/33085.png
162;Cortex Challenge GEO;2 — 6;9+;15;https://www.myludo.fr/img/jeux/1756064622/300/aa/570.png
163;Skull King;2 — 8;8+;30;https://www.myludo.fr/img/jeux/1756842413/300/cg/58121.png
164;Skull King;2 — 8;8+;30;https://www.myludo.fr/img/jeux/1650438699/300/ce/56151.png
165;Retro Loonacy;2 — 5;8+;10;https://www.myludo.fr/img/jeux/1641523037/300/at/19391.png
166;Ramen Fury;2 — 5;8+;30;https://www.myludo.fr/img/jeux/1602148190/300/bq/42555.png
167;Taco Chapeau Gâteau Cadeau Pizza;2 — 8;8+;10;https://www.myludo.fr/img/jeux/1724016494/300/bw/48886.png
168;Graal;3 — 5;8+;30;https://www.myludo.fr/img/jeux/1622964855/300/bx/49496.png
169;Unlock! Mystery Adventures;1 — 6;10+;60;https://www.myludo.fr/img/jeux/1721375193/300/aa/3.png
170;Cascadia;1 — 4;10+;30 — 45;https://www.myludo.fr/img/jeux/1728118289/300/bz/51951.png
171;Ecosphère;2 — 5;10+;30;https://www.myludo.fr/img/jeux/1715084193/300/cd/55585.png
172;Exploding Kittens;2 — 5;18+;15;https://www.myludo.fr/img/jeux/1743065512/300/ay/24701.png
173;P Comme Pizza;2 — 4;8+;20;https://www.myludo.fr/img/jeux/1638354320/300/ca/52119.png
174;Splendor Duel;Duo;10+;30;https://www.myludo.fr/img/jeux/1744964223/300/cf/57838.png
175;Gardeners;1 — 4;10+;30;https://www.myludo.fr/img/jeux/1753181754/300/ch/59540.png
176;Ephios;1 — 4;12+;30;https://www.myludo.fr/img/jeux/1743534183/300/bp/41746.png
177;Race For The Galaxy;2 — 4;12+;30 — 60;https://www.myludo.fr/img/jeux/1737412097/300/bm/38287.png
178;Le Jeu Des Cat-Tapultes;Duo;7+;30;https://www.myludo.fr/img/jeux/1741084290/300/ca/52091.png
179;Complices;Duo;10+;20;https://www.myludo.fr/img/jeux/1740754821/300/cd/55654.png
180;The Loop;1 — 4;12+;60;https://www.myludo.fr/img/jeux/1757598648/300/bn/39582.png
181;13 Mots;2 — 8;8+;20;https://www.myludo.fr/img/jeux/1742060220/300/cf/57564.png
182;Crack List;2 — 8;10+;30;https://www.myludo.fr/img/jeux/1762339741/300/cc/54187.png
183;Speedbac - Version Épicée;2 — 7;16+;20;https://www.myludo.fr/img/jeux/1739956946/300/ci/60504.png
184;Speedbac - Drôle & Rapide;2 — 7;10+;15;https://www.myludo.fr/img/jeux/1740754174/300/ci/60505.png
185;Paquet De Chips;2 — 5;8+;15;https://www.myludo.fr/img/jeux/1747309472/300/ce/56730.png
186;Le Jeu Du Doigt!;2 — 5;8+;10;https://www.myludo.fr/img/jeux/1676284429/300/cc/54804.png
187;Living Forest;2 — 4;10+;40;https://www.myludo.fr/img/jeux/1730366725/300/by/50768.png
188;Las Vegan;2 — 5;10+;20 — 30;https://www.myludo.fr/img/jeux/1757598686/300/ca/52334.png
189;Dune Imperium;1 — 4;14+;60 — 120;https://www.myludo.fr/img/jeux/1752209066/300/br/43977.png
190;Rajas Of The Ganges - The Dice Charmers;2 — 5;12+;30 — 45;https://www.myludo.fr/img/jeux/1725692620/300/bq/42756.png
191;Paleo;1 — 4;10+;30 — 60;https://www.myludo.fr/img/jeux/1763236251/300/bp/41999.png
192;Les Tavernes De La Vallée Profonde - Chambres À Louer;2 — 4;12+;60;https://www.myludo.fr/img/jeux/1757018988/300/by/50306.png
193;Exploding Kittens;2 — 10;7+;30;https://www.myludo.fr/img/jeux/1688193308/300/bv/47429.png
194;La Vallée Des Marchands - La Guilde Des Commerçants Extraordinaires;2 — 4;12+;30;https://www.myludo.fr/img/jeux/1725632804/300/az/25389.png
195;Botanik;Duo;10+;30;https://www.myludo.fr/img/jeux/1757835735/300/bv/47126.png
196;Pigeon Pigeon 2;4 — 10;12+;25;https://www.myludo.fr/img/jeux/1735828823/300/bx/49329.png
197;Tichu;3 — 6;10+;60;https://www.myludo.fr/img/jeux/1745644238/300/bx/49474.png
198;Root - Monde Souterrain;1 — 6;10+;60 — 90;https://www.myludo.fr/img/jeux/1748666168/300/bu/46481.png
199;The Hunger;2 — 6;12+;60;https://www.myludo.fr/img/jeux/1755348214/300/by/50199.png
200;Clash Of Decks - Starter Kit;1 — 2;8+;15;https://www.myludo.fr/img/jeux/1741155379/300/bu/46964.png
201;Sandwich MasterClass;3 — 8;7+;20;https://www.myludo.fr/img/jeux/1711731391/300/by/50839.png
202;Imperium - Légendes;1 — 4;14+;40 — 160;https://www.myludo.fr/img/jeux/1716280685/300/cb/53076.png
203;Iki;2 — 4;14+;60 — 90;https://www.myludo.fr/img/jeux/1755419803/300/bs/44608.png
204;Set A Watch;1 — 4;10+;60 — 75;https://www.myludo.fr/img/jeux/1726993648/300/bb/27733.png
205;Everdell;1 — 4;10+;40 — 80;https://www.myludo.fr/img/jeux/1762458061/300/bv/47771.png
206;Fort;2 — 4;10+;30;https://www.myludo.fr/img/jeux/1694419511/300/bx/49526.png
207;Petits Peuples;2 — 4;10+;30 — 60;https://www.myludo.fr/img/jeux/1741867993/300/by/50996.png
208;Oltréé;2 — 4;10+;60;https://www.myludo.fr/img/jeux/1693152390/300/bo/40756.png
209;Tsukuyumi - Après La Chute;2 — 6;14+;2 — 180;https://www.myludo.fr/img/jeux/1725867717/300/bu/46787.png
210;Tsukuyumi;2 — 4;14+;90 — 150;https://www.myludo.fr/img/jeux/1725867606/300/bj/35072.png
211;Deadlies;3 — 5;8+;30;https://www.myludo.fr/img/jeux/1725975663/300/bz/51522.png
212;Burgle Bros;1 — 4;10+;45 — 70;https://www.myludo.fr/img/jeux/1741852172/300/ba/26584.png
213;Demeter;1+;14+;15;https://www.myludo.fr/img/jeux/1726139900/300/bl/37210.png
214;Dimoi - Édition Couples;Duo;16+;30 — 90;https://www.myludo.fr/img/jeux/1748901187/300/bx/49242.png
